name,marktwert,source,team
Emanuele Giaccherini,4,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
Nico Elvedi,4,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Fabian Schär,4,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Denis Zakaria,4,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Shani Tarashaj,4,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Georgi Schennikov,4,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Artur Yusupov,4,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Aleksandr Samedov,4,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Oleg Ivanov,4,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Sebastian Prödl,4,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Julian Baumgartlinger,4,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Alessandro Schöpf,4,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Marcel Sabitzer,4,http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Andriy Pyatov,4,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Oleksandr Zinchenko,4,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Martin Olsson,4,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Oscar Hiljemark,4,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Emil Forsberg,4,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
John Guidetti,4,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Tomás Vaclík,4,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Ladislav Krejcí,4,http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Gabriel Torje,4,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Claudiu Keserü,4,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Bogdan Stancu,4,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Etrit Berisha,4,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Taulant Xhaka,4,http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Craig Cathcart,4,http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Michael Lang,"4,25",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Ivan Strinic,"4,5",http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Kamil Grosicki,"4,5",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Marwin Hitz,"4,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
Christian Fuchs,"4,5",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Sergiy Rybalka,"4,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Sergiy Sydorchuk,"4,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Viktor Kovalenko,"4,5",http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Ciaran Clark,"4,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Aiden McGeady,"4,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Albin Ekdal,"4,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Tomas Hubocan,"4,5",http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Miroslav Stoch,"4,5",http://www.transfermarkt.com/slovakia/startseite/verein/3503,Slowakei
Marek Suchy,"4,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Tomas Necid,"4,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Costel Pantilimon,"4,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Patrick McNair,"4,5",http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Eren Derdiyok,"4,6",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
José Fonte,5,http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Éder,5,http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Danijel Subasic,5,http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Mattia De Sciglio,5,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
Ahmet Calik,5,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Ismail Köybasi,5,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Sener Özbayrakli,5,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Burak Yilmaz,5,http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Admir Mehmedi,5,http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
James Chester,5,http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Neil Taylor,5,http://www.transfermarkt.com/wales/startseite/verein/3864,Wales
Denis Glushakov,5,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Dmitri Kombarov,5,http://www.transfermarkt.com/russia/startseite/verein/3448,Russland
Denys Garmash,5,http://www.transfermarkt.com/ukraine/startseite/verein/3699,Ukraine
Marcus Berg,5,http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Ciprian Tatarusanu,5,http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Federico Marchetti,"5,5",http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
Olcay Sahan,"5,5",http://www.transfermarkt.com/turkey/startseite/verein/3381,Türkei
Haris Seferovic,"5,5",http://www.transfermarkt.com/switzerland/startseite/verein/3384,Schweiz
