result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
534,Vladimirs Kamešs,1,29,Latvia,Lettland,nq,32444,Verteidigung,13,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=98977/index.html,,,0,0,0,1,0,0,6,6
535,Duje Čop,1,29,Croatia,Kroatien,q,32905,Angriff,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250000061/index.html,,,0,0,0,1,0,0,9,8
540,Adem Büyük,1,31,Turkey,Türkei,q,32019,Angriff,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=98512/index.html,,,2,0,0,1,1,0,8,6
541,Renato Steffen,2,31,Switzerland,Schweiz,q,33545,Mittelfeld,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250060817/index.html,,,0,0,0,1,1,0,4,3
549,Yannick Carrasco,2,34,Belgium,Belgien,q,34216,Mittelfeld,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250040959/index.html,,,0,0,0,1,0,0,11,10
557,Lukas Hinterseer,2,36,Austria,Österreich,q,33325,Angriff,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250021800/index.html,,,0,1,0,1,0,0,16,12
558,Eero Markkanen,3,36,Finland,Finnland,nq,33057,Angriff,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250076408/index.html,,,0,0,1,1,1,0,11,10
561,Andreas Lave Olsen,2,37,Faroe Islands,Faroe Islands,nq,32059,Angriff,6,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=73986/index.html,,,0,1,0,1,1,0,5,4
568,Miralem Sulejmani,2,42,Serbia,Serbien,nq,32482,Mittelfeld,20,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=97389/index.html,,,0,0,0,1,0,0,14,11
569,Pylyp Budkivskiy,4,43,Ukraine,Ukraine,q,33673,Angriff,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250004753/index.html,,,0,0,0,1,1,1,13,12
570,Silvan Widmer,2,43,Switzerland,Schweiz,q,34033,Mittelfeld,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250042877/index.html,,,2,0,0,1,0,0,28,26
574,Alexander Merkel,1,44,Kazakhstan,Kasachstan,nq,33656,Mittelfeld,1,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007623/index.html,,,0,0,0,1,0,1,20,20
578,Dimitris Diamantakos,1,45,Greece,Griechenland,nq,34033,Angriff,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007285/index.html,,,0,1,0,1,2,1,,
581,Etey Shechter,2,45,Israel,Israel,nq,31830,Angriff,23,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=99120/index.html,,,1,0,0,1,5,0,17,12
582,Petar Zanev,1,45,Bulgaria,Bulgarien,nq,31338,Verteidigung,26,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=98896/index.html,,,0,0,0,1,2,1,7,5
587,Sotiris Ninis,1,45,Greece,Griechenland,nq,32966,Mittelfeld,33,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1900714/index.html,,,1,1,0,1,3,0,31,19
590,George Cabrera,1,46,Gibraltar,Gibraltar,nq,32491,Angriff,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250057150/index.html,,,0,0,0,1,0,1,8,5
591,Tim Matavž,2,46,Slovenia,Slowenien,nq,32521,Angriff,31,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=104205/index.html,,,2,1,0,1,1,0,5,4
594,Alberto Aquilani,2,48,Italy,Italien,q,30870,Mittelfeld,38,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=58658/index.html,,,0,0,1,1,0,0,55,54
597,Ondrej Duda,3,50,Slovakia,Slowakei,q,34673,Mittelfeld,11,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250055981/index.html,,,0,0,0,1,2,0,24,20
600,Stephen Pisani,2,50,Malta,Malta,nq,33823,Angriff,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250004884/index.html,,,1,0,0,1,0,0,15,12
602,Quincy Promes,3,53,Netherlands,Niederlande,nq,33607,Mittelfeld,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250027830/index.html,,,0,0,1,1,1,0,25,23
605,Ludovic Clemente,1,54,Andorra,Andorra,nq,31541,Angriff,13,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=68824/index.html,,,0,0,0,1,1,1,,
607,Patrick Herrmann,1,56,Germany,Deutschland,q,33281,Angriff,2,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908298/index.html,,,1,1,0,1,0,0,30,25
608,Hélder Postiga,1,56,Portugal,Portugal,q,30165,Angriff,71,27,http://www.uefa.com/uefaeuro/season=2016/teams/player=48675/index.html,,,0,1,0,1,2,0,7,6
610,Andrija Živković,1,59,Serbia,Serbien,nq,35257,Mittelfeld,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250042213/index.html,,,0,0,0,1,1,0,10,8
612,Sebastiàn Gómez,1,59,Andorra,Andorra,nq,30621,Angriff,27,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250019985/index.html,,,1,1,0,1,1,0,4,4
615,Mohamed Elyounoussi,2,61,Norway,Norwegen,nq,34550,Angriff,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250055967/index.html,,,0,0,0,1,0,0,21,19
617,Marko Bakić,2,62,Montenegro,Montenegro,nq,34274,Mittelfeld,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250028111/index.html,,,0,0,1,1,0,1,23,21
624,Ádám Pintér,2,65,Hungary,Ungarn,q,32306,Verteidigung,20,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=104594/index.html,,,1,1,0,1,1,1,21,18
628,Ergys Kaçe,2,68,Albania,Albanien,q,34158,Mittelfeld,16,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250029557/index.html,,,0,0,0,1,1,1,43,38
629,Filip Djordjević,1,69,Serbia,Serbien,nq,32048,Angriff,14,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=1902465/index.html,,,0,1,0,1,1,0,12,11
631,Cavid Imamverdiyev,1,69,Azerbaijan,Azerbaijan,nq,32881,Mittelfeld,1,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250012051/index.html,,,0,0,0,1,1,0,21,19
632,Daniel Wass,1,69,Denmark,Dänemark,nq,32659,Mittelfeld,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=102869/index.html,,,0,1,0,1,0,1,16,12
634,Riccardo Montolivo,2,70,Italy,Italien,q,31065,Mittelfeld,62,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=73253/index.html,,,0,0,0,1,0,0,62,56
636,Philippe Senderos,1,70,Switzerland,Schweiz,q,31092,Verteidigung,57,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=56945/index.html,,,0,1,0,1,1,0,39,38
646,Sölvi Ottesen,1,72,Iceland,Island,q,30730,Verteidigung,28,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=94937/index.html,,,0,1,0,1,0,0,36,25
647,Viktor Dmitrenko,1,72,Kazakhstan,Kasachstan,nq,33332,Verteidigung,14,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250036697/index.html,,,0,0,0,1,0,1,3,3
649,Maor Buzaglo,2,73,Israel,Israel,nq,32156,Mittelfeld,20,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=97871/index.html,,,0,1,1,1,2,0,43,35
653,Carlo Valentini,1,73,San Marino,San Marino,nq,30025,Verteidigung,43,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=66271/index.html,,,0,0,0,1,2,0,12,10
657,Kazbek Geteriyev,1,74,Kazakhstan,Kasachstan,nq,31228,Mittelfeld,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250022320/index.html,,,0,0,0,1,0,0,27,22
658,James Coombes,2,75,Gibraltar,Gibraltar,nq,35212,Mittelfeld,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250066498/index.html,,,0,0,0,1,1,0,23,18
661,Edgar Olekhnovich,1,77,Belarus,Belarus,nq,31914,Mittelfeld,14,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250019846/index.html,,,0,0,1,1,0,1,33,27
662,Manolo Gabbiadini,2,77,Italy,Italien,q,33568,Angriff,6,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250036905/index.html,,,0,2,0,1,4,0,22,21
665,Davide Cesarini,1,78,San Marino,San Marino,nq,34746,Verteidigung,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013831/index.html,,,0,0,0,1,1,0,7,4
666,Nikos Karabelas,1,78,Greece,Griechenland,nq,31036,Verteidigung,1,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=101414/index.html,,,0,0,0,1,0,0,31,28
668,Thomas Delaney,2,80,Denmark,Dänemark,nq,33484,Mittelfeld,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250010472/index.html,,,0,2,0,1,4,0,48,40
671,Cenk Tosun,2,82,Turkey,Türkei,q,33396,Angriff,9,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908297/index.html,,,0,1,0,1,2,1,13,10
676,Sami Khedira,2,83,Germany,Deutschland,q,31871,Mittelfeld,60,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=74327/index.html,,,1,0,1,1,1,0,68,65
678,Ostoja Stjepanovic,1,84,FYR Macedonia,Mazedonien,nq,31064,Angriff,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=58972/index.html,,,0,1,0,1,0,0,61,55
679,Eddy,4,84,Azerbaijan,Azerbaijan,nq,33818,Mittelfeld,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250081987/index.html,,,0,0,0,1,3,0,48,46
680,Klæmint Olsen,3,84,Faroe Islands,Faroe Islands,nq,33071,Angriff,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=103182/index.html,,,0,0,0,1,4,0,6,6
681,Victor Moreira,2,85,Andorra,Andorra,nq,30229,Mittelfeld,15,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=105534/index.html,,,0,0,0,1,3,0,7,6
682,Florin Gardoş,1,85,Romania,Rumänien,q,32445,Verteidigung,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1902679/index.html,,,0,0,0,1,0,1,35,34
685,Pål André Helland,3,87,Norway,Norwegen,nq,32877,Angriff,5,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250000620/index.html,,,1,3,1,1,2,0,24,17
686,Olcan Adın,2,87,Turkey,Türkei,q,31320,Mittelfeld,10,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=74637/index.html,,,1,0,0,1,1,0,20,19
689,René Joensen,3,89,Faroe Islands,Faroe Islands,nq,34008,Mittelfeld,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003895/index.html,,,0,0,0,1,2,0,20,18
698,Bárdur Hansen,1,90,Faroe Islands,Faroe Islands,nq,33676,Verteidigung,2,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003884/index.html,,,0,0,0,1,1,1,7,5
705,Igor Picuşciac,2,90,Moldova,Moldawien,nq,30402,Angriff,23,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=94592/index.html,,,0,0,2,1,1,0,7,6
706,Jukka Raitala,1,90,Finland,Finnland,nq,32401,Verteidigung,30,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=96371/index.html,,,0,1,0,1,0,0,32,26
709,Milan Biševac,1,90,Serbia,Serbien,nq,30559,Verteidigung,19,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=93628/index.html,,,0,0,0,1,1,0,27,25
712,Shkodran Mustafi,1,90,Germany,Deutschland,q,33711,Verteidigung,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007624/index.html,,,0,1,0,1,0,0,79,72
715,Filip Novák,1,90,Czech Republic,Tschechien,q,33050,Verteidigung,2,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008358/index.html,,,0,0,0,1,2,1,53,45
716,Xabier Etxeita,1,90,Spain,Spanien,q,32081,Verteidigung,1,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008373/index.html,,,1,0,0,1,0,0,35,32
